"CAR_CLASS","FORM_DIR","SPACE","SEAT_DIR"
"R68","L","08a","B"
"R68","L","08b","B"
"R68","L","08e","B"
"R68","L","08f","B"
"R68","L","10a","F"
"R68","L","10b","F"
"R68","L","10e","F"
"R68","L","10f","F"
"R68","L","19a","B"
"R68","L","19b","B"
"R68","L","19e","B"
"R68","L","19f","B"
"R68","L","21a","F"
"R68","L","21b","F"
"R68","L","21e","F"
"R68","L","21f","F"
"R68","L","30a","B"
"R68","L","30b","B"
"R68","L","30e","B"
"R68","L","30f","B"
"R68","L","32a","F"
"R68","L","32b","F"
"R68","L","32e","F"
"R68","L","32f","F"
"R68","L","41e","B"
"R68","L","41f","B"
"R68","R","08a","F"
"R68","R","08b","F"
"R68","R","08e","F"
"R68","R","08f","F"
"R68","R","10a","B"
"R68","R","10b","B"
"R68","R","10e","B"
"R68","R","10f","B"
"R68","R","19a","F"
"R68","R","19b","F"
"R68","R","19e","F"
"R68","R","19f","F"
"R68","R","21a","B"
"R68","R","21b","B"
"R68","R","21e","B"
"R68","R","21f","B"
"R68","R","30a","F"
"R68","R","30b","F"
"R68","R","30e","F"
"R68","R","30f","F"
"R68","R","32a","B"
"R68","R","32b","B"
"R68","R","32e","B"
"R68","R","32f","B"
"R68","R","41e","F"
"R68","R","41f","F"
